278,monitoring,server.plugin.CMSGatewayServerPlugin,TRUE
279,controller,server.plugin.CMSGatewayServerPlugin,TRUE
280,admin,server.core.plugin.AlertController,TRUE
281,planner,server.core.plugin.AlertController,TRUE
282,monitoring,server.core.plugin.AlertController,TRUE
283,controller,server.core.plugin.AlertController,TRUE
284,admin,server.core.plugin.BasicAssetManager,TRUE
285,planner,server.core.plugin.BasicAssetManager,TRUE
286,monitoring,server.core.plugin.BasicAssetManager,TRUE
287,controller,server.core.plugin.BasicAssetManager,TRUE
288,admin,server.plugin.CotPlugin,TRUE
289,planner,server.plugin.CotPlugin,TRUE
290,monitoring,server.plugin.CotPlugin,TRUE
291,controller,server.plugin.CotPlugin,TRUE
292,admin,server.core.plugin.DatabaseSubscriberPlugin,TRUE
293,planner,server.core.plugin.DatabaseSubscriberPlugin,TRUE
294,monitoring,server.core.plugin.DatabaseSubscriberPlugin,TRUE
295,controller,server.core.plugin.DatabaseSubscriberPlugin,TRUE
296,admin,server.core.plugin.monitoring,TRUE
297,planner,server.core.plugin.monitoring,TRUE
298,monitoring,server.core.plugin.monitoring,TRUE
299,controller,server.core.plugin.monitoring,TRUE
300,admin,server.plugin.payload.PayloadDataServerPlugin,TRUE
301,planner,server.plugin.payload.PayloadDataServerPlugin,TRUE
302,monitoring,server.plugin.payload.PayloadDataServerPlugin,TRUE
303,controller,server.plugin.payload.PayloadDataServerPlugin,TRUE
304,admin,server.plugin.PlanningPlugin,TRUE
305,planner,server.plugin.PlanningPlugin,TRUE
306,monitoring,server.plugin.PlanningPlugin,FALSE
307,controller,server.plugin.PlanningPlugin,TRUE
308,admin,server.plugin.FeatureServicePlugin,TRUE
309,planner,server.plugin.FeatureServicePlugin,TRUE
310,monitoring,server.plugin.FeatureServicePlugin,TRUE
311,controller,server.plugin.FeatureServicePlugin,TRUE
312,admin,server.plugin.ColourSchemeServicePlugin,TRUE
313,planner,server.plugin.ColourSchemeServicePlugin,TRUE
314,monitoring,server.plugin.ColourSchemeServicePlugin,TRUE
315,controller,server.plugin.ColourSchemeServicePlugin,TRUE
316,admin,server.core.plugin.SettingsService,TRUE
317,planner,server.core.plugin.SettingsService,TRUE
318,monitoring,server.core.plugin.SettingsService,TRUE
319,controller,server.core.plugin.SettingsService,TRUE
320,admin,server.plugin.TrackPlugin,TRUE
321,planner,server.plugin.TrackPlugin,TRUE
322,monitoring,server.plugin.TrackPlugin,TRUE
323,controller,server.plugin.TrackPlugin,TRUE
324,admin,server.plugin.ADBSTrackPlugin,TRUE
325,planner,server.plugin.ADBSTrackPlugin,TRUE
326,monitoring,server.plugin.ADBSTrackPlugin,TRUE
327,controller,server.plugin.ADBSTrackPlugin,TRUE
328,admin,server.plugin.AISTrackPlugin,TRUE
329,planner,server.plugin.AISTrackPlugin,TRUE
330,monitoring,server.plugin.AISTrackPlugin,TRUE
331,controller,server.plugin.AISTrackPlugin,TRUE
332,admin,server.plugin.AISIngestPlugin,TRUE
333,planner,server.plugin.AISIngestPlugin,TRUE
334,monitoring,server.plugin.AISIngestPlugin,TRUE
335,controller,server.plugin.AISIngestPlugin,TRUE
336,admin,server.core.plugin.asset.QCSUserManagerPlugin,TRUE
337,planner,server.core.plugin.asset.QCSUserManagerPlugin,TRUE
338,monitoring,server.core.plugin.asset.QCSUserManagerPlugin,TRUE
339,controller,server.core.plugin.asset.QCSUserManagerPlugin,TRUE
340,admin,server.plugin.RabbitPlugin,TRUE
341,planner,server.plugin.RabbitPlugin,TRUE
342,monitoring,server.plugin.RabbitPlugin,TRUE
343,controller,server.plugin.RabbitPlugin,TRUE
344,admin,server.plugin.AlertsSimulator,TRUE
345,planner,server.plugin.AlertsSimulator,TRUE
346,monitoring,server.plugin.AlertsSimulator,TRUE
347,controller,server.plugin.AlertsSimulator,TRUE
